Id del anuncio;Título;Tipo de inmueble;Tipo de vendedor;Habitaciones;Barrio;Municipio;Euros/m2;Metros cuadrados construidos;Obra nueva (Sí/No);Parking (Sí/No);Jardín (Sí/No);Precio
103623658;Dúplex en calle Leopoldo Alas;Duplex;Profesional;3;Auditorio-Seminario-Parque de Invierno;Oviedo;2475;101;No;No;No;250000
103425227;Casa independiente en calle Gregorio Marañon;Chalet;Profesional;5;Vallobín;Oviedo;1567;254;No;Sí;Sí;398000
104132545;Chalet pareado en La Rasa, 44;Chalet;Profesional;4;-;Siero;1049;205;No;Sí;No;215000
106051036;Piso en calle Marqués de Teverga;Piso;Profesional;5;Parque San Francisco-Uría;Oviedo;2063;223;No;Sí;No;460000
107361884;Piso en calle Pablo Neruda;Piso;Profesional;3;El Natahoyo;Gijón;2314;140;No;Sí;No;324000
107449935;Piso en calle Amparo Pedregal;Piso;Profesional;3;Milán-Pumarín;Oviedo;2220;82;No;No;No;182000
106777807;Piso en calle Marqués de Canillejas;Piso;Profesional;3;-;Llanes;2940;102;No;No;No;299900
107077994;Piso en avenida de las Segadas;Piso;Profesional;3;Montecerrao;Oviedo;2443;88;No;No;No;215000
105610542;Piso en calle Fray Ceferino;Piso;Profesional;4;Milán-Pumarín;Oviedo;1951;123;No;Sí;No;240000
106747858;Piso en calle Aureliano San Román;Piso;Profesional;3;Teatinos-Los Prados;Oviedo;1884;95;No;No;No;179000
107124538;Piso en calle Monte Gamonal;Piso;Profesional;3;Ciudad Naranco-Prados de La Fuente;Oviedo;1746;59;No;No;No;103000
107167884;Casa independiente en Vv-5;Chalet;Profesional;4;-;Villaviciosa;3562;210;No;Sí;Sí;748000
98400674;Piso en Viaducto del Ingeniero Marquina;Piso;Profesional;5;Parque San Francisco-Uría;Oviedo;1812;165;No;Sí;No;299000
100280183;Piso en calle Cabo Noval;Piso;Profesional;4;Parque San Francisco-Uría;Oviedo;1762;122;No;No;No;215000
105673990;Casa independiente en calle del Profesor Pérez Pimentel;Chalet;Profesional;7;La Guía;Gijón;1864;450;No;Sí;Sí;839000
106827877;Chalet pareado en calle Juan Cuesta;Chalet;Profesional;4;-;Llanes;2662;263;No;Sí;Sí;700000
105315802;Casa independiente en carretera Cué;Chalet;Profesional;4;-;Llanes;4167;204;No;Sí;Sí;850000
106474830;Piso en calle Francisco Cambo;Piso;Profesional;3;Vallobín;Oviedo;908;98;No;No;No;89000
105856103;Dúplex en calle Leopoldo Calvo Sotelo;Duplex;Profesional;4;Parque San Francisco-Uría;Oviedo;2861;166;No;No;No;475000
107410265;Piso en calle Santa Eulalia de Mérida;Piso;Profesional;3;Buenavista;Oviedo;2308;78;No;No;No;180000
103565201;Casa independiente en calle Pérez de la Sala;Chalet;Profesional;10;Auditorio-Seminario-Parque de Invierno;Oviedo;2347;980;No;Sí;Sí;2300000
107424883;Piso en calle San Pedro de Mestallón;Piso;Profesional;3;Santo Domingo-El Campillín;Oviedo;1979;96;No;Sí;No;190000
107388943;Piso en avenida de Santander;Piso;Profesional;3;Salesas-Foncalada-Campoamor;Oviedo;1892;83;No;No;No;157000
107358521;Casa independiente en Barrio la Figar;Chalet;Profesional;9;La Pedrera - Leorio - Huerces - Ruedes;Gijón;1264;356;No;No;Sí;450000
97389801;Piso en calle Pérez de la Sala;Piso;Profesional;4;Auditorio-Seminario-Parque de Invierno;Oviedo;2016;124;No;No;No;250000
101070890;Dúplex en calle José María Martínez Cachero;Duplex;Profesional;3;Parque del Oeste;Oviedo;1863;102;No;Sí;No;190000
107358521;Casa independiente en Barrio la Figar;Chalet;Profesional;9;La Pedrera - Leorio - Huerces - Ruedes;Gijón;1264;356;No;No;Sí;450000
101070890;Dúplex en calle José María Martínez Cachero;Duplex;Profesional;3;Parque del Oeste;Oviedo;1863;102;No;Sí;No;190000
106821920;Casa independiente en calle Pepin Rodríguez, 5;Chalet;Profesional;4;Colloto;Oviedo;2104;316;No;Sí;Sí;665000
106704835;Chalet en avenida del Jardín Botánico, 94;Chalet;Profesional;5;La Guía;Gijón;3088;204;No;Sí;No;630000
106397884;Casa independiente en Lugar Torretejera, 98;Chalet;Profesional;3;-;Villaviciosa;3300;150;No;No;No;495000
104866696;Piso en calle Cabruñana;Piso;Profesional;6;-;Avilés;1068;220;No;Sí;No;235000
104411033;Casa independiente en carretera de Granda;Chalet;Profesional;6;Castiello - Bernueces;Gijón;1355;691;No;Sí;Sí;936000
106691600;Chalet pareado en La Mata;Chalet;Profesional;4;-;Noreña;1098;287;No;Sí;Sí;315000
102760810;Casa independiente en calle de Carlos Ciaño Canto;Chalet;Profesional;5;-;Villaviciosa;1579;475;No;Sí;Sí;750000
106127650;Casa independiente en carretera de Granda;Chalet;Profesional;3;Castiello - Bernueces;Gijón;1549;355;No;Sí;Sí;550000
104724600;Casa independiente en Camin de la Cerca d'Abaxu;Chalet;Profesional;4;Porceyo - Cenero;Gijón;561;508;No;Sí;Sí;285000
107010242;Casa independiente en camino la Campa;Chalet;Profesional;3;Somió;Gijón;2874;341;No;Sí;Sí;980000
